scientificName
Acanthopecten carboniferous
Archastropecten coloradoensis
Aviculopecten amplus
Aviculopecten areolatus
Aviculopecten artisulcatus
Aviculopecten carbonarius
Aviculopecten germanus
Aviculopecten halensis
Aviculopecten magnus
Aviculopecten occidentalis
Aviculopecten pealei
Aviculopecten providensis
Aviculopecten rectilaterarius
Aviculopecten rutiliteraria
Aviculopecten sculptilis
Aviculopecten textilis arenaria
Aviculopecten weberensis
Camponectes platessa
Camptonectes bellistriatus
Camptonectes pertenuistriatus
Camptonectes platessa
Chesapecten jeffersonius
Chesapecten madisonius
Chesapecten septenarius
Chlamys pontoni
Chlamys varius
Hinnites giganteus
Limipecten araneosus
Limipecten morsei
Lyropecten madisonius
Lyropecten orbicularis
Lyropecten tricostatus
Pecten acutoplicatus
Pecten aequisulcatus
Pecten aequivalris
Pecten archon
Pecten bastropensis
Pecten bellula
Pecten bellus
Pecten caurinus
Pecten cerrocesis
Pecten circularis
Pecten clintonius
Pecten columbianum
Pecten coosensis
Pecten demiurgus
Pecten eboreus
Pecten equisulcatum
Pecten equivalvis
Pecten estrellanus
Pecten fiborsus
Pecten fucanus
Pecten georgetownensis
Pecten gibbus
Pecten giganteus
Pecten greggi
Pecten hastatus
Pecten hastatus hericeus
Pecten hastatus hindsii
Pecten hastatus navarchus
Pecten hastatus strategus
Pecten healeyi
Pecten hemphilli
Pecten irregularis
Pecten islandicus
Pecten islandicus pugetsensis
Pecten jeffersonius
Pecten jordani
Pecten latiauritus
Pecten latiauritus monotimeris
Pecten levicostatus
Pecten macdonaldi
Pecten madisonius
Pecten marylandicus
Pecten mendenhalli
Pecten nebrascensis
Pecten neithea
Pecten newsoni
Pecten nitidus
Pecten opercularis
Pecten opuntia
Pecten poulsoni
Pecten propatulus
Pecten pumilus
Pecten quadricostata
Pecten quinquicostata
Pecten stearnsi
Pecten subalpinus
Pecten subclavatus
Pecten texanus
Pecten vogdesi
Pecten weaveri
Pernopecten cooperensis
Streblopteria media
Syncyclonema rigida
