scientificName
"Acaste zerinae Edgecombe, 1993"
"Glyptagnostus reticulatus Angelin, 1851"
Grandagnostus sp
"Homagnostus ultraobesus Lermontova, 1940"
Hypagnostus sp 1
Hypagnostus sp 2
"Idolagnostus (Obelagnostus) imitor Shergold & Webers, 1992"
"Kormagnostella minuta (Schrank, 1975)"
Lejopyge sp
"Peronopsis deons Jago & Webers, 1992"
Ptychagnostus aculeatus (Angelin)
Ptychagnostus sp 1
Ptychagnostus sp 2
Tomagnostella sp
Valenagnostus sp
Elrathia kingi Meek
Coosella prolifica Lochman
"Asaphus expansus (Wahlenberg, 1821)"
Genus sp
Isotelus gigas Dekay
"Isotelus walcotti Ulrich, 1918"
"Protopresbynileus glaber Fortey, 1975"
"Blountia perplexa Jago & Webers, 1992"
"Maurotarion isaacsoni Adrain & Edgecombe, 1996"
Bathynotus holopygus Hall
"Acidiphorus lineotuberculatus Fortey & Droser, 1999"
"Bathyurellus validus Billings, 1865"
"Benthamaspis sera Fortey & Droser, 1999"
"Goniotelina ensifer Fortey & Droser, 1996"
"Madaraspis magnifica Fortey & Droser, 1996"
"Petigurus inexpectatus Fortey & Droser, 1996"
"Psephosthenaspis glabrior Fortey & Droser, 1996"
"Psephosthenaspis microspinosa Fortey & Droser, 1996"
"Psephosthenaspis pseudobathyurus (Ross, 1967)"
"Pseudoolenoides aspinosus Fortey & Droser, 1996"
"Punka nitida (Billings, 1865)"
"Uromystrum sp Fortey & Droser, 1996"
"Uromystrum validum (Billings, 1865)"
Andinacaste sp
"Calymene breviceps Raymond, 1916"
"Calymene brownsportensis Edgecombe & Adrain, 1995"
"Calymene callicephala Green, 1832"
Calymene meeki Foerste
"Diacalymene vogdesi (Foerste, 1887)"
"Flexicalymene meeki (Foerste, 1910)"
"Protocalymene sp a Fortey & Droser, 1999"
"Changshanocephalus suspicor Shergold & Webers, 1992"
"Ceraurus pleurexanthemus Green, 1832"
Cheirurus ingricus
"Kawina wilsoni Ross-Jr., 1972"
"Metapliomerops extenuatus (Raymond, 1924)"
"Metapliomerops latidorsatus Raymond, 1937"
Pilekia apollo (Billings)
"Pilekia eryx Raymond, 1924"
"Pilekia extenuata Raymond, 1924"
"Strototropis elevata Raymond, 1937"
"Strototropis laeviuscula Raymond, 1937"
Clavagnostus sp
Clavagnostus sp 1
Clavagnostus sp 2
"Dalmanites limulurus (Green, 1832)"
"Dalmanites (Dalmania) paituna Hartt & Rathbun, 1875"
"Eldredgeia paituna (Hartt & Rathbun, 1875)"
Genus sp indet no. 2
Genus sp indet no. 4
"Pseudobergeronites spinosa Jago & Webers, 1992"
Briscoia sinclairensis Walcott
Briscoia sp
Briscoia tridentensis Resser
Dikelocephalus sp
Osceolia sp
"Ischyrotoma stubblefieldi Ingham, 1985"
Ammagnostus sp
Baltagnostus sp
"Pseudagnostus (Pseudagnostus) idalis Opik, 1967"
"Pseudagnostus (Pseudagnostus) vastulus Whitehouse, 1936"
Fuchouia sp
"Poliella denticulata Rasetti, 1951"
"Poliella lomatopsis Palmer, 1979"
"Poliella ovala Sundberg & McCollum, 2003"
"Poliella prima (Walcott, 1908)"
"Poliellaites gloriosa Sundberg & McCollum, 2003"
"Wenkchemnia spinicollus Rasetti, 1951"
"Wenkchemnia sulcata Rasetti, 1951"
"Wenkchemnia walcotti Rasetti, 1951"
"Onchopeltis acis Shergold & Webers, 1992"
"Onchopeltis neutra Shergold & Webers, 1992"
